id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,logic,initial,minimum,decay,function,requirements
3,LICENSE VALIDATOR,crack the license key,,nc 149.202.68.158 21004,,0,451,Reverse Engineering,dynamic,visible,any,500,100,80,logarithmic,
4,CHAOS,this is a total chaos can you figure out how it works?,,nc 149.202.68.158 21005,,0,455,Reverse Engineering,dynamic,visible,any,500,100,80,logarithmic,
5,Simple,this is so simple,,nc 149.202.68.158 21003,,0,461,Reverse Engineering,dynamic,visible,any,500,100,80,logarithmic,
6,ReflectionTrap,hmmm this program check if my flags are correct but i can't get a correct one. Help please!,,,,0,467,Reverse Engineering,dynamic,visible,any,500,100,80,logarithmic,
7,Crawl,"crawl this website to find the flag 
",,http://35.180.25.109:1234/,,0,100,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
8,Simplicity,It seems so simple!,,nc 149.202.68.158 21001,,0,490,Pwn,dynamic,visible,any,500,100,80,logarithmic,
9,Baby_SSRF,"Our security team discovered an internal web service that fetches content from external URLs. The developers claim it's secure so they've blocked all localhost access to prevent internal network attacks. However, we've heard whispers that there might be some interesting internal services running on non-standard ports...
Can you find a way to read the flag stored in flag.txt ?",,,,0,500,Web Exploitation,dynamic,hidden,any,500,100,80,logarithmic,
10,Commands,try to bypass filters to get the flag,,http://35.180.25.109:1235/,,0,100,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
11,IDOR,investigate the web app and try to find the administrator id,,http://35.180.25.109:1237/,,0,470,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
12,Boats,Would you like to buy a boat? its for FREE!,,nc 149.202.68.158 21002,,0,486,Pwn,dynamic,visible,any,500,100,80,logarithmic,
13,Investigation,investigate the events and try to find something to exploit it,,http://13.38.115.4:8084/,,0,428,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
14,Obfuscate,obfuscation is the key,,http://13.38.115.4:8085/,,0,448,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
15,Broken controll,try to access the admin panel,,http://35.180.25.109:1236/,,0,424,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
17,DEV DEV,"Everyone is telling not to deploy my php application in dev mode, it is dangerous, I'm not sure about that, and i don't understand why, i think it is safe, what do you think?",,http://13.38.115.4:8086/,,0,488,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
18,Store,"This is my new store application, i'm still new to security, can you audit it and tell me everything is safe?",,http://13.38.115.4:8087/,,0,424,Web Exploitation,dynamic,visible,any,500,100,80,logarithmic,
19,Warmup,"In order to get the flag, you need to login in as admin. Good luck !",,,,0,500,Web Exploitation,dynamic,hidden,any,500,80,80,logarithmic,
20,Investigation0x1,"We found a lost PC, we will try to investigate and collect as much information as we can. Starting with: 
- What is the Operating System (Profile)?

 to submit flag, put directly the answer, no format.

Download Links (MIRRORS, you can use one of the links below)
- LINK1: [MIRROR LINK 1](https://drive.google.com/file/d/1VoxhTt1awGyhGWY3rIl-4g6nN9k2mHZh/view?usp=sharing)
- LINK2: [MIRROR LINK 2](https://drive.google.com/file/d/1jFQIgQKNnyHD6JPrJL0pBrQ7cxAJolYM/view?usp=sharing)
- LINK3: [MIRROR LINK 3](https://drive.google.com/file/d/1NT4a-EwXdIY0k6rjHHlqGt9aGJwAxjsU/view?usp=sharing)",,,,0,379,Forensics,dynamic,visible,any,500,100,80,logarithmic,
21,Investigation0x2,"Moving to the next question:
- What is the username?
",,,,0,400,Forensics,dynamic,visible,any,500,100,80,logarithmic,
22,Multiple,"RSA, but is it good rsa?",,,,0,304,Cryptography,dynamic,visible,any,500,100,80,logarithmic,
23,Investigation0x3,"Next question:
- what is the password? after cracking it.

",,,,0,424,Forensics,dynamic,visible,any,500,100,80,logarithmic,
24,Investigation0x4,"Next:
- We found KeePass installed, we are trying to find the password saved somewhere, envs, etc .. can you tell us the keepass password?
",,,,0,448,Forensics,dynamic,visible,any,500,100,80,logarithmic,
