challenge_id,user_id,team_id,id,ip,provided,type,date
31,73,,8,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:04.762506
31,18,,9,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:05.432774
31,72,,10,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:05.966739
31,51,,11,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:07.022377
31,90,,12,104.28.42.19,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:07.284997
31,66,,28,80.214.148.53,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:43.602832
31,38,,30,77.159.232.243,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:45.492076
31,44,,35,46.193.65.138,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:00:52.557338
31,57,,39,82.66.23.99,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:01:03.892528
31,47,,43,77.159.232.243,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:01:08.601006
31,30,,56,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:01:24.406000
31,28,,59,176.183.133.162,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:01:38.172627
31,100,,66,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:01:53.774781
31,111,,70,185.165.241.209,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:02:05.507809
35,23,,79,156.146.61.34,flag{356_CoventryRoad},correct,2025-12-18 07:02:16.900343
31,56,,90,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:02:30.864406
31,95,,111,46.218.105.102,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:02:55.759013
31,33,,113,82.66.23.99,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:03:03.701436
31,49,,114,80.215.225.100,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:03:16.025627
31,26,,116,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:03:38.844191
31,84,,123,159.26.105.113,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:03:51.658256
31,27,,124,79.174.192.106,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:03:52.201665
31,88,,126,88.125.170.93,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:04:03.885141
31,52,,127,89.81.244.79,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:04:07.221989
31,35,,130,37.170.107.253,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:04:18.354990
31,69,,133,92.184.144.134,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:04:30.398062
31,68,,137,185.184.192.249,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:04:40.811838
31,24,,143,88.178.49.170,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:05:00.519245
31,37,,155,82.66.23.99,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:05:31.793055
31,23,,157,156.146.61.34,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:05:32.730208
31,109,,158,90.7.197.109,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:05:32.941438
7,44,,161,46.193.65.138,flag{Crawl_Master_2025},correct,2025-12-18 07:05:38.899317
31,85,,170,94.187.131.242,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:06:08.564048
31,40,,171,82.66.23.99,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:06:43.417146
31,75,,176,77.159.232.243,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:06:51.680938
7,69,,178,92.184.144.134,flag{Crawl_Master_2025},correct,2025-12-18 07:06:55.855174
31,11,,186,78.244.11.142,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:07:13.100536
31,104,,188,185.177.125.67,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:07:16.066865
31,63,,189,95.135.253.50,flag{Y0u_P4sS_The_RulEs},correct,2025-12-18 07:07:19.069107
